n,categoria,cat_norm,data,anno,valore,file
1,Omicidi commessi,omicidi,2021-05-16,2021,94,2021-05-16.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-05-16,2021,38,2021-05-16.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-05-16,2021,57,2021-05-16.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-05-16,2021,34,2021-05-16.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-05-16,2021,25,2021-05-16.csv
1,Omicidi commessi,omicidi,2021-05-30,2021,104,2021-05-30.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-05-30,2021,42,2021-05-30.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-05-30,2021,62,2021-05-30.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-05-30,2021,38,2021-05-30.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-05-30,2021,27,2021-05-30.csv
1,Omicidi commessi,omicidi,2021-07-18,2021,149,2021-07-18.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-07-18,2021,60,2021-07-18.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-07-18,2021,83,2021-07-18.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-07-18,2021,52,2021-07-18.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-07-18,2021,37,2021-07-18.csv
1,Omicidi commessi,omicidi,2021-08-15,2021,170,2021-08-15.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-08-15,2021,69,2021-08-15.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-08-15,2021,93,2021-08-15.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-08-15,2021,60,2021-08-15.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-08-15,2021,43,2021-08-15.csv
1,Omicidi commessi,omicidi,2021-08-22,2021,178,2021-08-22.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-08-22,2021,74,2021-08-22.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-08-22,2021,99,2021-08-22.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-08-22,2021,65,2021-08-22.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-08-22,2021,46,2021-08-22.csv
1,Omicidi commessi,omicidi,2021-09-05,2021,186,2021-09-05.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-09-05,2021,76,2021-09-05.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-09-05,2021,100,2021-09-05.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-09-05,2021,66,2021-09-05.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-09-05,2021,47,2021-09-05.csv
1,Omicidi commessi,omicidi,2021-09-12,2021,197,2021-09-12.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-09-12,2021,81,2021-09-12.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-09-12,2021,105,2021-09-12.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-09-12,2021,70,2021-09-12.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-09-12,2021,50,2021-09-12.csv
1,Omicidi commessi,omicidi,2021-09-19,2021,206,2021-09-19.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-09-19,2021,86,2021-09-19.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-09-19,2021,110,2021-09-19.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-09-19,2021,73,2021-09-19.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-09-19,2021,52,2021-09-19.csv
1,Omicidi commessi,omicidi,2021-10-31,2021,246,2021-11-02.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-10-31,2021,102,2021-11-02.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-10-31,2021,126,2021-11-02.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-10-31,2021,86,2021-11-02.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-10-31,2021,59,2021-11-02.csv
1,Omicidi commessi,omicidi,2021-11-14,2021,252,2021-11-15.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-11-14,2021,103,2021-11-15.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-11-14,2021,127,2021-11-15.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-11-14,2021,87,2021-11-15.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-11-14,2021,60,2021-11-15.csv
1,Omicidi commessi,omicidi,2021-11-21,2021,263,2021-11-22.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-11-21,2021,109,2021-11-22.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-11-21,2021,136,2021-11-22.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-11-21,2021,93,2021-11-22.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-11-21,2021,63,2021-11-22.csv
1,Omicidi commessi,omicidi,2021-12-05,2021,272,2021-12-06.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-12-05,2021,110,2021-12-06.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-12-05,2021,137,2021-12-06.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-12-05,2021,94,2021-12-06.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-12-05,2021,64,2021-12-06.csv
1,Omicidi commessi,omicidi,2021-12-26,2021,289,2021-12-26.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2021-12-26,2021,116,2021-12-26.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2021-12-26,2021,144,2021-12-26.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2021-12-26,2021,100,2021-12-26.csv
5,di cui da partner/ex partner,omicidi_da_partner,2021-12-26,2021,68,2021-12-26.csv
1,Omicidi commessi,omicidi,2022-01-09,2022,7,2022-01-10.csv
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-01-09,2022,2,2022-01-10.csv
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-01-09,2022,4,2022-01-10.csv
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-01-09,2022,2,2022-01-10.csv
